inside out 2015,"pete docter, ronaldo del carmen","adventure, drama, fantasy, comedy, animation, family"
sideways 2004,alexander payne,"drama, comedy, romance"
schindler's list 1993,steven spielberg,"biography, drama, history, war"
meet me in st. louis 1945,vincente minnelli,"drama, comedy, romance, music, family"
the apartment 1960,billy wilder,"drama, comedy, romance"
apocalypse now 1979,francis ford coppola,"action, drama, war"
the gunfighter 1950,henry king,western
we were here 2011,"bill weber, david weissman",documentary
faces places 2017,"agnès varda, jr",documentary
chimes at midnight 1967,orson welles,"drama, history, comedy, war"
the lord of the rings: the return of the king 2003,peter jackson,"action, adventure, fantasy"
call me by your name 2017,luca guadagnino,"drama, romance"
carlos 2010,olivier assayas,"biography, drama, history, thriller, crime"
marriage story 2019,noah baumbach,"drama, comedy, romance"
the french connection 1971,william friedkin,"action, drama, thriller, crime"
la la land 2016,damien chazelle,"drama, comedy, romance, musical"
"crouching tiger, hidden dragon 2000",ang lee,"action, adventure, drama, fantasy, romance"
"jeanne dielman, 23, quai du commerce, 1080 bruxelles 1978",chantal akerman,drama
petite maman 2021,céline sciamma,drama
the magnificent ambersons 1942,"fred fleck, orson welles, robert wise","drama, romance"
reversal of fortune 1990,barbet schroeder,"drama, mystery"
david byrne’s american utopia 2020,spike lee,"music, musical, documentary"
lady bird 2017,greta gerwig,"drama, comedy"
saint omer,alice diop,drama
shoplifters 2018,hirokazu koreeda,"drama, crime"
shoah: four sisters 2018,claude lanzmann,"history, documentary"
the 39 steps 1935,alfred hitchcock,"mystery, thriller, film-noir"
duck soup 1933,leo mccarey,"comedy, war, musical"
days of heaven 1978,terrence malick,"drama, romance"
toni erdmann 2016,maren ade,"drama, comedy"
yi yi 2000,edward yang,"drama, romance, music"
mccabe & mrs. miller 1971,robert altman,"drama, western"
inside llewyn davis 2013,"ethan coen, joel coen","drama, music"
the best years of our lives 1946,william wyler,"drama, romance, war"
stagecoach 1939,john ford,"adventure, drama, western"
sherpa 2015,jennifer peedom,documentary
there will be blood 2007,paul thomas anderson,"drama, thriller"
badlands 1973,terrence malick,"drama, crime"
the last picture show 1971,peter bogdanovich,drama
do the right thing 1989,spike lee,"drama, comedy"
sita sings the blues 2009,nina paley,"fantasy, comedy, romance, animation, musical"
the decline of western civilization 1981,penelope spheeris,"history, music, documentary"
yojimbo 1961,akira kurosawa,"action, drama, thriller"
rio bravo 1959,howard hawks,"action, drama, western"
brother's keeper 1992,"bruce sinofsky, joe berlinger","mystery, crime, documentary"
sankofa 1993,haile gerima,drama
crumb 1995,terry zwigoff,"biography, documentary"
spotlight 2015,thomas mccarthy,"biography, drama, history, thriller"
the band wagon 1953,vincente minnelli,"comedy, romance, musical"
one more time with feeling 2016,andrew dominik,"music, documentary"
ride the high country 1962,sam peckinpah,"drama, western"
the diving bell and the butterfly 2007,julian schnabel,"biography, drama"
invasion of the body snatchers 1956,don siegel,"sci-fi, drama, horror"
mr. bachmann and his class 2022,maria speth,documentary
the class 2008,laurent cantet,drama
platoon 1986,oliver stone,"drama, war"
35 shots of rum 2009,claire denis,drama
apocalypse now: final cut 2019,francis ford coppola,"drama, mystery, war"
chinatown 1974,roman polanski,"drama, mystery, thriller, crime"
the florida project 2017,sean baker,drama
timbuktu 2015,abderrahmane sissako,drama
frenzy 1972,alfred hitchcock,thriller
brief encounter 1946,david lean,"drama, romance"
no country for old men 2007,"ethan coen, joel coen","drama, thriller, crime, western"
cool hand luke 1967,stuart rosenberg,"drama, crime"
little women 1933,george cukor,"drama, romance, family"
maborosi 1997,hirokazu koreeda,drama
top hat 1935,mark sandrich,"comedy, romance, musical"
apocalypse now redux 2001,francis ford coppola,"action, drama, war"
nomadland 2020,chloé zhao,drama
never rarely sometimes always 2020,eliza hittman,drama
annie hall 1977,woody allen,"drama, comedy, romance"
the lord of the rings: the fellowship of the ring 2001,peter jackson,"action, adventure, fantasy"
quiz show 1994,robert redford,"drama, history"
leviathan 2014,andrei zvyagintsev,drama
werckmeister harmonies 2001,"ágnes hranitzky, béla tarr","sci-fi, drama, mystery, thriller, horror, crime"
toy story 3 2010,lee unkrich,"adventure, fantasy, comedy, animation, family"
the souvenir 2019,joanna hogg,"drama, mystery, romance"
this is spinal tap 1984,rob reiner,"comedy, music"
the look of silence 2015,joshua oppenheimer,documentary
tower 2016,keith maitland,"history, crime, animation, documentary"
drive my car 2021,ryûsuke hamaguchi,drama
moolaadé 2004,ousmane sembene,drama
atanarjuat: the fast runner 2002,zacharias kunuk,"drama, fantasy"
ikiru 1956,akira kurosawa,drama
time 2020,garrett bradley,documentary
gavagai 2018,rob tregenza,drama
the man who would be king 1975,john huston,adventure
the killing 1956,stanley kubrick,"drama, thriller, crime, film-noir"
swing time 1936,george stevens,"comedy, romance, musical"
breaking away 1979,peter yates,"drama, sport, comedy, romance"
after life 1999,hirokazu koreeda,"drama, fantasy"
son of saul 2015,lászló nemes,"drama, history, thriller, horror, war"
love affair 1939,leo mccarey,"drama, comedy, romance"
frankenstein 1931,james whale,"sci-fi, drama, horror"
8½ 1963,federico fellini,drama
little women 2019,greta gerwig,"drama, romance"
e.t. the extra-terrestrial 1982,steven spielberg,"adventure, sci-fi, drama, fantasy, family"
the african queen 1952,john huston,"adventure, drama, romance, war"
the triplets of belleville 2003,sylvain chomet,"adventure, comedy, music, animation"
the queen 2006,stephen frears,"biography, drama"
flee 2021,jonas poher rasmussen,"biography, drama, animation, documentary"
all quiet on the western front 1930,lewis milestone,"drama, war"
ex libris: the new york public library 2017,frederick wiseman,documentary
a bread factory part two: walk with me a while 2018,patrick wang,"drama, comedy"
the ladykillers 1956,alexander mackendrick,"comedy, crime"
young mr. lincoln 1939,john ford,"biography, drama"
stories we tell 2013,sarah polley,documentary
a bread factory part one: for the sake of gold 2018,patrick wang,"drama, comedy"
the act of killing 2013,"anonymous, christine cynn, joshua oppenheimer","history, crime, documentary"
on the waterfront 1954,elia kazan,"drama, romance, crime"
jafar panahi's taxi 2015,jafar panahi,"drama, comedy"
ida 2014,pawel pawlikowski,drama
beau travail 2000,claire denis,drama
her 2013,spike jonze,"sci-fi, drama, comedy, romance"
uncut gems 2019,"ben safdie, joshua safdie","drama, mystery, thriller, comedy, crime"
waltz with bashir 2008,ari folman,"biography, drama, war, animation"
"this is not a burial, it's a resurrection 2021",lemohang jeremiah mosese,drama
they shall not grow old 2018,peter jackson,"history, war, documentary"
secrets & lies 1996,mike leigh,"drama, comedy"
memoria 2021,apichatpong weerasethakul,"sci-fi, drama"
an autumn afternoon 1964,yasujiro ozu,drama
patton 1970,franklin j. schaffner,"biography, drama, war"
the favourite 2018,giorgos lanthimos,"biography, drama, history, comedy"
the sweet hereafter 1997,atom egoyan,drama
tár 2022,todd field,"drama, music"
the right stuff 1983,philip kaufman,"adventure, biography, drama, history"
bambi 1942,"bill roberts, david hand, graham heid, james algar, norman wright, paul satterfield, samuel armstrong","drama, animation, family"
bringing up baby 1938,howard hawks,"comedy, romance, family"
the gatekeepers 2013,dror moreh,documentary
nostalgia for the light 2011,patricio guzmán,"drama, documentary"
the rider 2018,chloé zhao,"adventure, drama, comedy, romance, western, music"
david copperfield 1935,george cukor,"adventure, drama, romance"
saving private ryan 1998,steven spielberg,"action, drama, war"
burning 2018,chang-dong lee,"drama, mystery"
all the beauty and the bloodshed 2022,laura poitras,documentary
the worst person in the world 2022,joachim trier,"drama, comedy"
ben-hur 1959,william wyler,"adventure, drama, history, war"
after hours 1985,martin scorsese,"thriller, comedy"
the crying game 1992,neil jordan,"thriller, romance, crime"
great expectations 1947,david lean,"adventure, drama, mystery, romance"
winter's bone 2010,debra granik,"drama, thriller"
gett: the trial of viviane amsalem 2015,"ronit elkabetz, shlomi elkabetz",drama
i called him morgan 2017,kasper collin,"drama, history, music, documentary"
close encounters of the third kind 1977,steven spielberg,"adventure, sci-fi, drama"
the godfather: part ii 1974,francis ford coppola,"drama, thriller, crime"
